­ఊహించలేరు	ఊహ లేదు
అంచనా	అంచనా
అంటాడు	అంట
అంటారు	అంట
అంటున్న	అంట ఉండు
అంటూ	అంట
అంటే	అంటే
అంటేనే	అంటే
అంటోంది	అంట ఉండు
అండగా	అండ
అండ్‌	అండ్‌
అంతకు	అంత
అంతగా	అంత
అంతర్గత	అంతర్గతం
అంతర్గతంగా	అంతర్గతం
అంతా	అంత
అంతులేని	అంతు లేదు
అంతే	అంతే
అందమైన	అందము అయి
అందరికీ	అందరు
అందరూ	అందరు
అందాక	అందు
అందాలు	అందం
అంది	అందు
అందినంత	అందు అంత
అందుకుంది	అందు ఉండు
అకస్మాత్తుగా	అకస్మాత్‌
అక్కడ	అక్కడ
అక్కడికీ	అక్కడ
అక్కడే	అక్కడ
అక్కరలేని	అక్కెర లేదు
అజాగ్రత్తలు	అజాగ్రత్త
అటూ	అటు
అడపాదడపా	అడపాదడపా
అడిగాడు	అడుగు
అడిగారు	అడుగు
అడిగి	అడుగు
అడిగింది	అడుగు
అడిగిందే	అడుగు
అడుగు	అడుగు
అడుగుగా	అడుగు
అడుగుతున్నావ్	అడుగు ఉండు
అడుగుని	అడుగు
అడుగులు	అడుగు
అడుగెయ్‌	అడుగు వేయు
అడ్డుకట్ట	అడ్డుకట్ట
అడ్డుపడితే	అడ్డు పడు
అతడి	అతడు
అతడికి	అతడు
అతడు	అతడు
అతని	అతను
అతనికి	అతను
అతను	అతను
అతనే	అతను
అతి	అతి
అతిక్రమించడం	అతిక్రమించు
అతిగా	అతి
అత్యాశ	అత్యాశ
అత్యుత్సాహం	అతి ఉత్సాహం
అత్యుత్సాహంతో	అతి ఉత్సాహం
అత్యుత్సాహానికి	అతి ఉత్సాహం
అత్యుత్సాహాన్ని	అతి ఉత్సాహం
అదనుగా	అదను
అది	అది
అదిగో	అది
అదుపు	అదుపు
అదుపులేని	అదుపు లేదు
అదుపులో	అదుపు
అదృష్టం	అదృష్టము
అదృష్టవశాత్తూ	అదృష్టము
అదే	అది
అద్దాలు	అద్దం
అధికంగా	అధికము
అధ్యయనం	అధ్యయనం
అధ్యయనాల	అధ్యయనం
అధ్యాపకుడు	అధ్యాపకుడు
అనంతుడి	అనంతు
అనంతుడికి	అనంతు
అనంతుడు	అనంతు
అనగానే	అను
అనడిగాడు	అను అడుగు
అనర్ధాన్ని	అనర్థము
అనర్ధాలు	అనర్ధం
అనవచ్చు	అను వచ్చు
అని	అని
అనిపించి	అని
అనిపించింది	అని
అనిపిస్తోంది	అని
అనుకుంటారు	అను ఉండు
అనుకుంటూ	అను ఉండు
అనుకుంది	అను
అనుకున్నది	అను ఉండు
అనుకున్నాడు	అను ఉండు
అనుకున్నారిద్దరూ	అను ఇద్దరు
అనుకూలంగా	అనుకూల
అనుకోని	అను
అనుకోవడం	అను
అనుభవం	అనుభవం
అనుభవంగా	అనుభవం
అనుభవమయినా	అనుభవము అయినా
అనుభవాలసారం	అనుభవం సారం
అనుభవించే	అనుభవించు
అనుమానం	అనుమానం
అనుమానంగా	అనుమానం
అనుసరించింది	అనుసరించు
అనే	అను
అనేది	అను
అనేవి	అను
అనేసింది	అను
అన్న	అను
అన్నట్టు	అన్నట్టు
అన్నది	అను అది
అన్నాక	అను
అన్నాడతను	అను అతను
అన్నాడు	అను
అన్నారు	అను
అన్ని	అన్ని
అన్నిసార్లూ	అన్ని సార్లు
అన్పించే	అను
అపజయం	అపజయము
అపజయాల	అపజయము
అపరిచిత	అపరిచిత
అప్పగించడం	అప్పగింత
అప్పగింతల	అప్పగింత
అప్పటికే	అప్పుడు
అప్పుడు	అప్పుడు
అప్పుడే	అప్పుడు
అబ్బో	అబ్బ
అభినందించాలనుకుంటే	అభినందించు అను
అభివృద్ధి	అభివృద్ధి
అమల్లో	అమలు
అమ్మా	అమ్మ
అమ్మాయి	అమ్మాయి
అయి	అయి
అయింది	అయి
అయితలేదా	అయి లేదు
అయితే	అయి
అయిన	అయి
అయినా	అయి
అయుండచ్చు	అయి వచ్చు
అయ్యారు	అయి
అర	అర
అరగంటలో	అర గంట
అరవసాగింది	అరుపు సాగు
అరిగిపోతాయా	అరుగు పోవు
అరిచాడు	అరుపు
అరిచింది	అరుపు
అరిచేకన్నా	అరుపు కన్నా
అరుచుకుంటూ	అరుపు
అరుస్తూ	అరుపు
అరేయ్	అరేయ్
అర్థం	అర్థం
అర్థమై	అర్థము
అర్థమైంది	అర్థము అవ్వు
అర్థమైపోయింది	అర్థము పోవు
అర్థవంతంగా	అర్థవంతం
అర్ధరాత్రి	అర్ధ రాత్రి
అలవరచుకోవాలి	అలవరచు
అలసట	అలసట
అలా	అలా
అలాగని	అలాగ
అల్లకల్లోలాలు	అల్లకల్లోలము
అవకాశం	అవకాశము
అవడానికి	అవ్వు
అవతల	అవతల
అవలంబించాలి	అవలంబించు
అవసరం	అవసరం
అవసరమనీ	అవసరము
అవసరమా	అవసరము
అవసరమైతేనే	అవసరం అయితే
అవాంఛనీయ	అవాంఛనీయ
అవి	అవి
అవుతారు	అవు
అవును	అవును
అసలు	అసలు
అసలే	అసలు
అసలైన	అసలు అయిన
అసహనంగా	అసహనం
అసూయ	అసూయ
అహంభావం	అహం భావం
అహర్నిశలూ	అహర్నిశ
ఆ	ఆ
ఆందోళనతో	ఆందోళన
ఆగకుండా	ఆగు
ఆగలేదు	ఆగు
ఆగింది	ఆగు
ఆగిందో	ఆగు
ఆగిపోవడం	ఆగు
ఆటలవైపు	ఆట వైపు
ఆటలాడుతున్నామని	ఆట ఆడు
ఆడపిల్లలు	ఆడ పిల్ల
ఆడవాళ్లు	ఆడ వాళ్ళు
ఆతృత	ఆతృత
ఆత్మబలాన్ని	ఆత్మ బలం
ఆత్మవిశ్వాసం	ఆత్మవిశ్వాసం
ఆదుర్దాగా	ఆదుర్దా
ఆధారపడనిస్తున్నాడంటే	ఆధారం పడు అంటే
ఆనందం	ఆనందం
ఆనందంగా	ఆనందం
ఆనందంతో	ఆనందం
ఆనందాన్ని	ఆనందం
ఆనందాలు	ఆనందం
ఆనుకుని	ఆను
ఆపలేదో	ఆపు
ఆపుకోలేని	ఆపు లేని
ఆపుతారు	ఆపు
ఆపెదెలా	ఆపేది ఎలా
ఆపెయ్‌	ఆపు
ఆఫ్	ఆఫ్
ఆబర్డీన్	ఆబర్డీన్
ఆమె	ఆమె
ఆమెకి	ఆమె
ఆమెని	ఆమె
ఆమెనేం	ఆమె
ఆమోదయోగ్యం	ఆమోదయోగ్యం
ఆమోదించారు	ఆమోదించు
ఆయన	ఆయన
ఆయనకు	ఆయన
ఆయుధం	ఆయుధం
ఆయుధాలిస్తుంది	ఆయుధం ఇవ్వు
ఆయుష్షుని	ఆయుష్యము
ఆరడుగుల	ఆరు అడుగు
ఆర్జించిన	ఆర్జించు
ఆలోచన	ఆలోచన
ఆలోచనల	ఆలోచన
ఆలోచనలే	ఆలోచన
ఆలోచించండి	ఆలోచన
ఆలోచించకుండా	ఆలోచన
ఆలోచించలేదింక	ఆలోచన లేదు
ఆలోచించసాగింది	ఆలోచన సాగు
ఆలోచించాలి	ఆలోచన
ఆలోచించి	ఆలోచన
ఆలోచించే	ఆలోచన
ఆలోచించేవారు	ఆలోచన వారు
ఆలోచిస్తున్నాను	ఆలోచన
ఆలోచిస్తే	ఆలోచన
ఆవేశం	ఆవేశం
ఆశతో	ఆశ
ఆశలన్నీ	ఆశ
ఆశ్చర్యంగా	ఆశ్చర్యము
ఆశ్రయించేది	ఆశ్రయించు
ఆసక్తి	ఆసక్తి
ఆసక్తికరమైన	ఆసక్తి అయి
ఆసక్తిగలవారు	ఆసక్తి వారు
ఇంక	ఇంక
ఇంకా	ఇంక
ఇంకో	ఇంక
ఇంగ్లీషు	ఇంగ్లీషు
ఇంజనీరింగ్	ఇంజినీరు
ఇంజినీర్లు	ఇంజినీరు
ఇంటికి	ఇల్లు
ఇంట్లో	ఇల్లు
ఇంత	ఇంత
ఇంతమంది	ఇంత మంది
ఇంతమందిని	ఇంత మంది
ఇంతలో	ఇంత
ఇందులో	ఇందు
ఇచ్చి	ఇచ్చి
ఇచ్చినపుడే	ఇవ్వు అపుడు
ఇచ్చే	ఇచ్చు
ఇచ్చేపుడు	ఇచ్చు అపుడు
ఇటీవలే	ఇటీవల
ఇటు	ఇటు
ఇటుకలతో	ఇటుక
ఇటువంటి	ఇటువంటి
ఇటువంటివి	ఇటువంటి
ఇటూ	ఇటు
ఇటెందుకు	ఇటు ఎందుకు
ఇతరుల	ఇతర
ఇతరులకు	ఇతర
ఇతరులు	ఇతర
ఇతరుల్ని	ఇతర
ఇతరుల్నీ	ఇతర
ఇది	ఇది
ఇదే	ఇది
ఇదేంటి	ఇది ఏమిటి
ఇద్దరం	ఇద్దరు
ఇద్దరి	ఇద్దరు
ఇద్దరికీ	ఇద్దరు
ఇద్దరు	ఇద్దరు
ఇద్దరూ	ఇద్దరు
ఇద్దరే	ఇద్దరు
ఇప్పుడీ	ఇప్పుడు
ఇప్పుడు	ఇప్పుడు
ఇప్పుడే	ఇప్పుడు
