Word	GTruth
అంచనా	అంచనా
అంటాడు	అంట
అంటారు	అంట
అంటూ	అంట
అంటే	అంటే
అంటేనే	అంటే
అండగా	అండ
అండ్‌	అండ్‌
అంతకు	అంత
అంతగా	అంత
అంతర్గత	అంతర్గతం
అంతర్గతంగా	అంతర్గతం
అంతా	అంత
అంతే	అంతే
అందరికీ	అందరు
అందరూ	అందరు
అందాక	అందు
అందాలు	అందం
అంది	అందు
అకస్మాత్తుగా	అకస్మాత్‌
అక్కడ	అక్కడ
అక్కడికీ	అక్కడ
అక్కడే	అక్కడ
అజాగ్రత్తలు	అజాగ్రత్త
అటూ	అటు
అడపాదడపా	అడపాదడపా
అడిగాడు	అడుగు
అడిగారు	అడుగు
అడిగి	అడుగు
అడిగింది	అడుగు
అడిగిందే	అడుగు
అడుగు	అడుగు
అడుగుగా	అడుగు
అడుగుని	అడుగు
అడుగులు	అడుగు
అడ్డుకట్ట	అడ్డుకట్ట
అతడి	అతడు
అతడికి	అతడు
అతడు	అతడు
అతని	అతను
అతనికి	అతను
అతను	అతను
అతనే	అతను
అతి	అతి
అతిక్రమించడం	అతిక్రమించు
అతిగా	అతి
అత్యాశ	అత్యాశ
అదనుగా	అదను
అది	అది
అదిగో	అది
అదుపు	అదుపు
అదుపులో	అదుపు
అదృష్టం	అదృష్టము
అదృష్టవశాత్తూ	అదృష్టము
అదే	అది
అద్దాలు	అద్దం
అధికంగా	అధికము
అధ్యయనం	అధ్యయనం
అధ్యయనాల	అధ్యయనం
అధ్యాపకుడు	అధ్యాపకుడు
అనంతుడి	అనంతు
అనంతుడికి	అనంతు
అనంతుడు	అనంతు
అనగానే	అను
అనర్ధాన్ని	అనర్థము
అనర్ధాలు	అనర్ధం
అని	అని
అనిపించి	అని
అనిపించింది	అని
అనిపిస్తోంది	అని
అనుకుంది	అను
అనుకూలంగా	అనుకూల
అనుకోని	అను
అనుకోవడం	అను
అనుభవం	అనుభవం
అనుభవంగా	అనుభవం
అనుభవించే	అనుభవించు
అనుమానం	అనుమానం
అనుమానంగా	అనుమానం
అనుసరించింది	అనుసరించు
అనే	అను
అనేది	అను
అనేవి	అను
అనేసింది	అను
అన్న	అను
అన్నట్టు	అన్నట్టు
అన్నాక	అను
అన్నాడు	అను
అన్నారు	అను
అన్ని	అన్ని
అన్పించే	అను
అపజయం	అపజయము
అపజయాల	అపజయము
అపరిచిత	అపరిచిత
అప్పగించడం	అప్పగింత
అప్పగింతల	అప్పగింత
అప్పటికే	అప్పుడు
అప్పుడు	అప్పుడు
అప్పుడే	అప్పుడు
అబ్బో	అబ్బ
అభివృద్ధి	అభివృద్ధి
అమల్లో	అమలు
అమ్మా	అమ్మ
అమ్మాయి	అమ్మాయి
అయి	అయి
అయింది	అయి
అయితే	అయి
అయిన	అయి
అయినా	అయి
అయ్యారు	అయి
అర	అర
అరిచాడు	అరుపు
అరిచింది	అరుపు
అరుచుకుంటూ	అరుపు
అరుస్తూ	అరుపు
అరేయ్	అరేయ్
అర్థం	అర్థం
అర్థమై	అర్థము
అర్థవంతంగా	అర్థవంతం
అలవరచుకోవాలి	అలవరచు
అలసట	అలసట
అలా	అలా
అలాగని	అలాగ
అల్లకల్లోలాలు	అల్లకల్లోలము
అవకాశం	అవకాశము
అవడానికి	అవ్వు
అవతల	అవతల
అవలంబించాలి	అవలంబించు
అవసరం	అవసరం
అవసరమనీ	అవసరము
అవసరమా	అవసరము
అవాంఛనీయ	అవాంఛనీయ
అవి	అవి
అవుతారు	అవు
అవును	అవును
అసలు	అసలు
అసలే	అసలు
అసహనంగా	అసహనం
అసూయ	అసూయ
అహర్నిశలూ	అహర్నిశ
ఆ	ఆ
ఆందోళనతో	ఆందోళన
ఆగకుండా	ఆగు
ఆగలేదు	ఆగు
ఆగింది	ఆగు
ఆగిందో	ఆగు
ఆగిపోవడం	ఆగు
ఆతృత	ఆతృత
ఆత్మవిశ్వాసం	ఆత్మవిశ్వాసం
ఆదుర్దాగా	ఆదుర్దా
ఆనందం	ఆనందం
ఆనందంగా	ఆనందం
ఆనందంతో	ఆనందం
ఆనందాన్ని	ఆనందం
ఆనందాలు	ఆనందం
ఆనుకుని	ఆను
ఆపలేదో	ఆపు
ఆపుతారు	ఆపు
ఆపెయ్‌	ఆపు
ఆఫ్	ఆఫ్
ఆబర్డీన్	ఆబర్డీన్
ఆమె	ఆమె
ఆమెకి	ఆమె
ఆమెని	ఆమె
ఆమెనేం	ఆమె
ఆమోదయోగ్యం	ఆమోదయోగ్యం
ఆమోదించారు	ఆమోదించు
ఆయన	ఆయన
ఆయనకు	ఆయన
ఆయుధం	ఆయుధం
ఆయుష్షుని	ఆయుష్యము
ఆర్జించిన	ఆర్జించు
ఆలోచన	ఆలోచన
ఆలోచనల	ఆలోచన
ఆలోచనలే	ఆలోచన
ఆలోచించండి	ఆలోచన
ఆలోచించకుండా	ఆలోచన
ఆలోచించాలి	ఆలోచన
ఆలోచించి	ఆలోచన
ఆలోచించే	ఆలోచన
ఆలోచిస్తున్నాను	ఆలోచన
ఆలోచిస్తే	ఆలోచన
ఆవేశం	ఆవేశం
ఆశతో	ఆశ
ఆశలన్నీ	ఆశ
ఆశ్చర్యంగా	ఆశ్చర్యము
ఆశ్రయించేది	ఆశ్రయించు
ఆసక్తి	ఆసక్తి
ఇంక	ఇంక
ఇంకా	ఇంక
ఇంకో	ఇంక
ఇంగ్లీషు	ఇంగ్లీషు
ఇంజనీరింగ్	ఇంజినీరు
ఇంజినీర్లు	ఇంజినీరు
ఇంటికి	ఇల్లు
ఇంట్లో	ఇల్లు
ఇంత	ఇంత
ఇంతలో	ఇంత
ఇందులో	ఇందు
ఇచ్చి	ఇచ్చి
ఇచ్చే	ఇచ్చు
ఇటీవలే	ఇటీవల
ఇటు	ఇటు
ఇటుకలతో	ఇటుక
ఇటువంటి	ఇటువంటి
ఇటువంటివి	ఇటువంటి
ఇటూ	ఇటు
ఇతరుల	ఇతర
ఇతరులకు	ఇతర
ఇతరులు	ఇతర
ఇతరుల్ని	ఇతర
ఇతరుల్నీ	ఇతర
ఇది	ఇది
ఇదే	ఇది
ఇద్దరం	ఇద్దరు
ఇద్దరి	ఇద్దరు
ఇద్దరికీ	ఇద్దరు
ఇద్దరు	ఇద్దరు
ఇద్దరూ	ఇద్దరు
ఇద్దరే	ఇద్దరు
ఇప్పుడీ	ఇప్పుడు
ఇప్పుడు	ఇప్పుడు
ఇప్పుడే	ఇప్పుడు
ఇరవై	ఇరవై
ఇలా	ఇలా
ఇలాంటి	ఇలా
ఇవ్వకుండా	ఇవ్వు
ఇవ్వదు	ఇవ్వు
ఇవ్వాలి	ఇవ్వు
ఇష్టపడతారు	ఇష్టపడు
ఇష్టాయిష్టాలు	ఇష్టము
ఇస్తారు	ఇవ్వు
ఇస్తే	ఇవ్వు
ఈ	ఈ
ఈడ్చుకుంటూ	ఈడ్చు
ఈతరం	ఈతరం
ఈయన	ఈయన
ఈలోగా	ఈలో
ఈసారి	ఈసారి
ఉంచుకోవాలి	ఉండు
ఉంటాయ	ఉండు
ఉంటాయి	ఉండు
ఉంటారు	ఉండు
ఉంటుంది	ఉండు
ఉంటుందో	ఉండు
ఉండడం	ఉండు
ఉండడంతో	ఉండు
ఉండదు	ఉండు
ఉండవచ్చు	ఉండు
ఉండవు	ఉండు
ఉండాలి	ఉండు
ఉండి	ఉండు
ఉండే	ఉండు
ఉండేది	ఉండు
ఉందాం	ఉంది
ఉంది	ఉంది
ఉడుకు	ఉడుకు
ఉత్తేజాన్ని	ఉత్తేజం
ఉత్సాహానికి	ఉత్సాహం
ఉత్సాహాన్ని	ఉత్సాహం
ఉత్సుకత	ఉత్సుకత
ఉదయం	ఉదయం
ఉదారంగా	ఉదారము
ఉదాహరణకు	ఉదాహరణ
ఉద్యోగ	ఉద్యోగము
ఉధృతంగా	ఉధృతం
ఉన్న	ఉన్న
ఉన్నతను	ఉన్నత
ఉన్నా	ఉన్న
ఉన్నారు	ఉన్న
ఉపన్యాసం	ఉపన్యాసం
ఉపన్యాసాలు	ఉపన్యాసం
ఉపయోగించి	ఉపయోగము
ఉపాధ్యాయులు	ఉపాధ్యాయ
ఉమామహేశ్వరరావు	ఉమామహేశ్వరరావు
ఉరకలు	ఉరక
ఉసిగొల్పింది	ఉసిగొలుపు
ఊపడం	ఊపు
ఊపినా	ఊపు
ఊపుతూనే	ఊపు
ఎంత	ఎంత
ఎంతటి	ఎంత
ఎంతో	ఎంత
ఎందరో	ఎందరు
ఎక్కడ	ఎక్కడ
ఎక్కడి	ఎక్కడ
ఎక్కడో	ఎక్కడ
ఎక్కి	ఎక్కు
ఎక్కించుకుంటాడో	ఎక్కు
ఎక్కితే	ఎక్కు
ఎక్కువ	ఎక్కువ
ఎక్కువగా	ఎక్కువ
ఎక్కువిస్తే	ఎక్కువ
ఎక్స్‌పరిమెంట్‌	ఎక్స్‌పరిమెంట్‌
ఎగబాకి	ఎగబాకు
ఎగిసిపడే	ఎగిసిపడు
ఎటు	ఎటు
ఎడాపెడా	ఎడాపెడా
